fr	zh
Les instructions de quarantaine individuelle les plus strictes ont été données aux personnes des groupes les plus à risque.	另外还向高危人群发布了最严厉的自我隔离指示。
Les personnes qui ont été exposées à un malade atteint de la COVID-19 et ceux qui ont récemment voyagé vers un pays ou une région où la transmission est très importante ont été invités à se placer en quarantaine pendant 14 jours à partir du moment où ils ont pu être exposés pour la dernière fois.	如有可能接触过 COVID-19 患者，或者近期去过大范围传播的国家或地区，会被建议自最后可能接触病毒的时间起自我隔离 14 天。
Les stratégies de contrôle d’une épidémie sont l’endiguement ou la suppression, et l’atténuation.	疫情防控策略包括遏制/抑制和缓解。
L’endiguement est mis en place lors des premières phases de l’épidémie et vise à suivre et à isoler les personnes infectées, ainsi qu’à introduire d’autres mesures de contrôle des infections et de vaccination pour empêcher la propagation de la maladie au reste de la population.	遏制适用于爆发早期阶段，目的是要追踪和隔离感染者，同时采取其他感染防控和疫苗接种措施，以阻止疾病向其他人群传播。
Lorsqu’il n’est plus possible d’empêcher la propagation de la maladie, les efforts se tournent vers la phase d’atténuation : on prend des mesures pour ralentir cette propagation et atténuer ses effets sur le système des soins de santé et la société.	如果已经无法遏制疾病的传播，则要努力过渡到缓解阶段：采取措施减缓疾病传播，降低疾病对卫生系统和社会的影响。
Des mesures d’endiguement et d’atténuation peuvent être prises en même temps.	遏制和缓解措施可同时进行。
La suppression nécessite des mesures plus extrêmes, afin d’infléchir la pandémie en réduisant le nombre de reproduction de base à moins de 1. Une partie de la gestion d’une épidémie de maladie infectieuse consiste à essayer d’atténuer le pic épidémique : c’est ce qu’on appelle aplatir la courbe épidémique.	抑制则需要采取更极端的防控措施，通过将基本再生数减少到 1 以下来扭转大流行局面。控制传染病爆发的部分工作是要努力降低疫情峰值，也就是我们所知的拉平流行病学曲线。
Cela permet de diminuer le risque d’une surcharge des services de santé et de gagner du temps pour le développement des vaccins et des traitements.	这样可降低卫生服务系统的崩溃风险，并为疫苗和治疗方案的开发争取更多时间。
Parmi les interventions non pharmaceutiques qui peuvent gérer l’épidémie figurent les mesures de prévention personnelles, comme l’hygiène des mains, le port de masques et la quarantaine individuelle ; les mesures publiques de distanciation sociale comme la fermeture des écoles et des offices religieux ; un effort public pour encourager l’acceptation de telles interventions et la participation à celles-ci ; ainsi que des actions environnementales comme le nettoyage des surfaces. Des mesures plus drastiques visant à juguler l’épidémie ont été prises en Chine dès lors que la gravité de celle-ci est devenue apparente, comme la mise en quarantaine de villes entières et une interdiction stricte des voyages.	可控制住疫情的非药物干预措施包括个人预防措施，如保持手部卫生、戴口罩和自我隔离；旨在保持物理距离的社区措施，如停学和取消大规模集会活动；旨在鼓励接受和参与此类干预的社区行动；以及表面清洁等环境措施。面对明显加重的疫情，中国立即采取了更加严厉的疫情遏制措施，如封城和实施严格的出行禁令。
D’autres pays ont également adopté une variété de mesures visant à limiter la propagation du virus.	其他国家和地区也采取了各种措施来限制病毒传播。
La Corée du Sud a introduit le dépistage de masse et les mises en quarantaine localisées, et a émis des alertes sur les déplacements de personnes infectées.	韩国引入了大规模筛查与局部隔离措施，并就感染者的活动轨迹发布了警报。
Singapour a fourni un soutien financier aux personnes infectées qui se sont mises en quarantaine, et a infligé de lourdes amendes à celles qui ne l’ont pas fait.	新加坡为自我隔离感染者提供财政支持，对拒绝自我隔离的感染者处以巨额罚款。
Taïwan a augmenté la production de masques et a sanctionné l’accaparement de fournitures médicales. Des simulations pour la Grande-Bretagne et les États-Unis montrent que l’atténuation (le ralentissement mais pas l’élimination de la propagation de l’épidémie) et la suppression (renverser le développement de l’épidémie) font face à des défis importants.	中国台湾增加了口罩产量，对捂货惜售的医疗物资供应商施加处罚。对英国和美国的模拟显示，缓解（减缓但不阻止流行病的蔓延）和抑制（扭转流行病蔓延态势）均面临重大挑战。
Les politiques d’atténuation optimales peuvent réduire la demande de soins de santé de 2/3 et les décès de moitié, mais ne peuvent éviter des centaines de milliers de morts, et les systèmes de soins de santé sont submergés.	最佳缓解政策可能将高峰医疗需求减少 2/3，将死亡人数减少一半，但仍会导致数十万人死亡，造成卫生系统崩溃。
La suppression peut être privilégiée, mais doit être poursuivie aussi longtemps que le virus circule dans la population humaine (ou jusqu’à ce qu’un vaccin soit disponible, si cela arrive en premier), car dans le cas contraire, la transmission rebondit rapidement lors du relâchement des mesures.	抑制可能为首选措施，但需要维持到病毒在人群中停止传播（或直至疫苗推出，以先到者为准），否则一旦放松措施，传播便会迅速反弹。
L’intervention à long terme pour supprimer la pandémie a un coût social et économique.	旨在抑制大流行病的长期干预会带来社会和经济成本。
Il n’existe pas de traitements antiviraux approuvés pour la COVID-19, mais des efforts de développement sont en cours, y compris les tests de traitements existants.	目前尚未针对 COVID-19 批准任何特效抗病毒药物，但研发工作还在进行，包括对现有药物的试验。
La prise de médicaments sans ordonnance contre le rhume ou la consommation de boissons ainsi que le repos peuvent contribuer à soulager les symptômes.	服用非处方感冒药、补液和休息可能有助于缓解症状。
En fonction de la gravité, l’oxygénothérapie, les perfusions intraveineuses et l’assistance respiratoire peuvent être nécessaires.	根据病情的严重程度，可能需要氧疗、静脉输液和呼吸支持。
L’utilisation de stéroïdes peut aggraver les résultats.	使用类固醇可能会导致情况恶化。
Plusieurs composés qui ont déjà été approuvés pour le traitement d’autres maladies virales sont actuellement à l’étude pour le traitement de la COVID-19.	目前正在研究先前获批用于治疗其他病毒性疾病的若干化合物，确定其是否适用于治疗 COVID-19。
L’OMS a déclaré que certains « remèdes traditionnels et artisanaux » peuvent adoucir les symptômes causés par le SARS-CoV-19.	世界卫生组织还指出，一些“传统和家庭疗法”可以缓解由 SARS-CoV-19 引起的症状。
L’augmentation de la capacité et l’adaptation des soins de santé pour les besoins des patients atteints de la COVID-19 est décrite par l’OMS comme une mesure de réponse fondamentale à l’épidémie.	世界卫生组织指出，提高处理能力和调整医疗系统以满足 COVID-19 患者的需求是基本的疫情应对措施。
L’ECDC et le Bureau régional de l'OMS pour l'Europe ont publié des lignes directrices à l’attention des hôpitaux et des services de soins de santé primaires pour le redéploiement des ressources à différents niveaux, notamment en consacrant les services de laboratoire aux tests de la COVID-19, en annulant les interventions non urgentes lorsque c’est possible, en séparant et en isolant les patients testés positifs à la COVID-19, et en renforçant les capacités de soins intensifs par la formation du personnel et l’augmentation du nombre de ventilateurs et lits disponibles.	ECDC 和世界卫生组织欧洲区域办事处发布了医院和初级卫生保健服务指南，用于在多个层面转移资源，包括将实验室服务集中于 COVID-19 检测，尽可能取消选择性程序，分隔和隔离 COVID-19 阳性患者，以及通过培训人员和增加可用呼吸机和病床数量来提高重症监护能力。
Il existe diverses théories concernant le lieu d’origine du tout premier cas (appelé patient zéro).	关于第一病例（即所谓零号病人）起源地的猜测众说纷纭。
Le premier cas connu du nouveau coronavirus pourrait remonter au 1er décembre 2019, à Wuhan, dans la province du Hubei en Chine.	目前已知的第一例新型冠状病毒肺炎病例可能追溯到 2019 年 12 月 1 日，位于中国湖北武汉。
En un mois, le nombre de cas de coronavirus au Hubei a graduellement augmenté.	一个月内，湖北省新型冠状病毒病例逐渐增加。
Ils sont généralement liés au marché de gros de fruits de mer de Huanan, qui vendait également des animaux vivants. Selon une théorie, le virus viendrait de l’un de ces animaux ; en d’autres mots, il aurait une origine zoonotique. Un foyer de pneumonie de cause inconnue a été observé le 26 décembre et traité par le docteur Zhang Jixian à l’hôpital de la province du Hubei, qui en a informé le CDC de Wuhan Jianghan le 27 décembre.	这些患者大多与华南海鲜批发市场有关，该市场同时还出售活体动物，一种理论认为新型冠状病毒便来源于其中某种动物；或者换句话说，起源于人畜共患病。12 月 26 日，湖北省中西医结合医院的医生张继先最先发现并收治了一批不明原因的肺炎患者，并于 12 月 27 日上报至武汉市江汉区疾病预防控制中心。
Le 30 décembre, un groupe de docteurs de l’hôpital central de Wuhan ont averti leurs collègues d’un « coronavirus semblable au SRAS ».	12 月 30 日，武汉中心医院的一群医生提醒其同事警惕一种“类似 SARS 的冠状病毒”。
Huit de ces docteurs, y compris Li Wenliang, ont été réprimandés par la police pour avoir propagé de fausses rumeurs, et un autre, Ai Fen, a été réprimandé par ses supérieurs pour avoir donné l’alerte.	包括李文亮在内的八名医生因散布“谣言”而受到警方训诫，另一名医生艾芬则因拉响警报而被其上级训诫。
La Commission sanitaire municipale de Wuhan a ensuite publié un avis public le 31 décembre et a informé l’OMS.	武汉市卫生健康委员会随后于 12 月 31 日发布公告，并上报至世界卫生组织。
Il y avait assez de cas d’une pneumonie inconnue signalés aux autorités sanitaires de Wuhan pour déclencher une investigation début janvier. Aux premières phases de l’épidémie, le nombre de cas doublait environ tous les sept jours et demi.	武汉卫生部门收到众多不明原因肺炎病例报告后，于 1 月初启动了一项调查。在疫情爆发早期，病例数量大约每七天半翻一倍。
Au début et à la mi-janvier 2020, le virus s’est propagé à d’autres provinces chinoises, aidé par les migrations du Nouvel An chinois et le fait que Wuhan est un pôle de transports ainsi qu’un lieu de correspondance ferroviaire majeur.	在 2020 年 1 月初至 1 月中旬，受中国春节人口大流动和武汉作为交通枢纽和主要铁路枢纽的影响，病毒传播到了中国其他省份。
Le 20 janvier, la Chine a signalé presque 140 nouveaux cas en un jour, y compris deux personnes à Pékin et une à Shenzhen.	1 月 20 日，中国在一天内报告新增确诊病例近 140 例，包括北京 2 例和深圳 1 例。
Les données officielles ultérieures montrent que 6 174 personnes avaient déjà développé des symptômes le 20 janvier 2020. Le 26 mars, les États-Unis ont dépassé la Chine et l’Italie en affichant le plus grand nombre de cas confirmés au monde. Le 9 avril 2020, plus de 1,61 million de cas ont été signalés dans le monde ; plus de 97 000 personnes sont mortes et plus de 364 000 ont guéri.	后来的官方数据显示，截至 2020 年 1 月 20 日，已有 6,174 人出现症状。截至 3 月 26 日，美国确诊病例超过中国和意大利，成为全球确诊病例最多的国家。截至 2020 年 4 月 9 日，全球累计报告的确诊病例超过 161 万例；死亡超过 9.7 万例，治愈超过 36.4 万例。
Environ 200 pays et territoires ont eu au moins un cas.	全球约 200 个国家和地区均有报告确诊病例。
En raison de la pandémie en Europe, de nombreux pays de la zone Schengen ont restreint les déplacements et mis en place des contrôles aux frontières.	受欧洲大流行的影响，申根区很多国家均采取了限制人口自由流动和设立边境管制的防控措施。
Les réactions nationales ont inclus des mesures d’endiguement comme les mises en quarantaine (aussi appelées ordres de rester à domicile, d’abri sur place ou de confinement) et les couvre-feux. Au 2 avril, près de 300 millions de personnes, ou environ 90 % de la population, sont soumis à une forme de confinement aux États-Unis, plus de 50 millions de personnes sont confinées aux Philippines, environ 59 millions en Afrique du Sud et 1,3 milliard en Inde.	国家级应对措施包括遏制，如隔离（也称居家令、就地避难令或封锁）和宵禁。截至 4 月 2 日，美国有近 3 亿人，即人口总数的约 90% 处于某种形式的封锁状态，菲律宾有 5,000 多万人处于封锁状态，南非有约 5,900 万人处于封锁状态，印度有 13 亿人处于封锁状态。
Le 26 mars, 1,7 milliard de personnes dans le monde connaissaient une forme de confinement, un chiffre s’étant élevé à 2,6 milliards deux jours plus tard — environ un tiers de la population mondiale.	3 月 26 日，全球有 17 亿人处于某种形式的封锁状态，两天后这一数字增至 26 亿，约占全球人口的三分之一。
L’origine du premier cas confirmé de COVID-19 a été datée au 1er décembre 2019 à Wuhan ; un rapport non confirmé suggère que le tout premier cas remonterait au 17 novembre.	第一例 COVID-19 确诊病例已追溯到 2019 年 12 月 1 日，位于武汉；一份未经证实的报告推测最早病例可追溯到 11 月 17 日。
Le docteur Zhang Jixian a observé un foyer de cas de pneumonie de cause inconnue le 26 décembre, dont elle a informé le CDC de Wuhan Jianghan le 27 décembre.	张继先医生于 12 月 26 日发现了一批不明原因的肺炎病例，其所在医院于 12 月 27 日将这一情况上报到武汉市江汉区疾病预防控制中心。
Les tests génétiques initiaux d’échantillons de patients le 27 décembre 2019 indiquaient la présence d’un coronavirus semblable au SRAS.	2019 年 12 月 27 日，在对患者样本进行的初步基因检测中发现一组类似 SARS 的冠状病毒。
Un avis public a été émis par la Commission sanitaire municipale de Wuhan le 31 décembre.	武汉市卫生健康委员会于 12 月 31 日发布公告，
L’OMS a été informée le même jour.	同日上报至世界卫生组织。
Les docteurs à Wuhan ont reçu un avertissement pour avoir « propagé des rumeurs » à propos de l’épidémie.	这些通知发出后，武汉市几名医生因散步疫情“谣言”而受到警方训诫。
La Commission nationale de la santé de Chine a prétendu initialement qu’il n’existait pas de « preuve manifeste » de transmission entre êtres humains.	中国国家卫生健康委员会最初声称没有出现人传人的“明确证据”。
Fin janvier, le gouvernement chinois a lancé une campagne radicale, plus tard décrite par le secrétaire général du Parti communiste chinois Xi Jinping comme une « guerre du peuple » pour endiguer la propagation du virus.	1 月下旬，中国政府发起了一场激进运动，后来，中共中央总书记习近平称这是一场遏制病毒传播的“人民战争”。
Dans ce qui a été décrit comme « la plus grande mise en quarantaine de l’histoire humaine », un cordon sanitaire a été annoncé le 23 janvier pour arrêter les voyages depuis et à destination de Wuhan, qui a été étendu à 15 villes à Hubei, touchant environ 57 millions de personnes au total.	1 月 23 日政府宣布在武汉拉起一道防疫线，禁止人员出入武汉，这条防疫线后来又延伸至湖北其他 15 个城市，总计约 5,700 万人受影响，堪称“人类史上最大规模的隔离事件”。
L’utilisation de véhicules privés a été interdite dans la ville.	市内禁止使用私家车。
Les célébrations du Nouvel An chinois (le 25 janvier) ont été annulées en de nombreux endroits.	很多地方还取消了中国农历新年（1 月 25 日）的庆祝活动。
Les autorités ont également annoncé la construction d’un hôpital temporaire, Huoshenshan, qui a été achevé en 10 jours.	政府部门还宣布建造一所临时医院，即火神山医院，该医院于 10 天内完工交付使用。
Un autre hôpital a été construit par la suite : Leishenshan, afin de traiter les patients supplémentaires.	随后又建造了另一所医院，即雷神山医院，用于接诊更多患者。
En plus des nouveaux hôpitaux, la Chine a converti 14 autres structures à Wuhan, telles que des centres des congrès et des stades, en hôpitaux temporaires. Le 26 janvier, le gouvernement a institué de nouvelles mesures pour endiguer l’épidémie de COVID-19, parmi lesquelles l’émission de déclarations de santé pour les voyageurs et le prolongement des congés de la fête du Printemps.	除了新建医院外，中国还将武汉其他 14 个场所，如会议中心和体育场，改造成方舱医院。1 月 26 日，政府采取了进一步措施来遏制 COVID-19 疫情，包括向出行人员发放健康申报表和延长春节假期。
Les universités et écoles du pays ont également été fermées.	全国高校和中小学也全面停学。
Les régions de Hong Kong et Macao ont institué plusieurs mesures, particulièrement en ce qui concerne les écoles et les universités.	中国香港和澳门地区也采取了若干措施，特别是针对中小学和高校的措施。
Des mesures de travail à distance ont été instituées dans plusieurs régions chinoises.	中国多地实行了远程居家办公措施。
Des restrictions de voyages ont été adoptées à Hubei et au-delà.	除湖北省外，其他身份也实行了旅行限制。
Les transports publics ont été modifiés et les musées de Chine ont été fermés temporairement.	公共交通经过了调整，中国各地的博物馆也临时闭馆。
Le contrôle des déplacements de la population a été appliqué dans de nombreuses villes, et il a été estimé qu’environ 760 millions de gens (plus de la moitié de la population) a eu affaire à une forme ou une autre de restriction de déplacement. Après que l’épidémie est entrée en phase mondiale en mars, les autorités chinoises ont pris des mesures strictes pour éviter que le virus ne soit « importé » d’autres pays.	很多城市实行了公共活动设施管制，据估计，约有 7.6 亿人（超过一半人口）受到了某种形式的户外活动限制。3 月疫情进入全球阶段后，中国当局采取严格措施，防止病毒从其他国家和地区“输入”。
Par exemple, Pékin a imposé une mise en quarantaine de 14 jours pour tous les voyageurs internationaux entrant dans la ville. Au 23 mars, en Chine continentale, un seul cas s’était transmis à l’intérieur du pays dans les cinq jours précédents, en l’occurrence via un voyageur retournant à Canton depuis Istanbul.	例如，北京对所有境外入京人员实行为期 14 天的强制隔离。在 3 月 23 日前的 5 天内，中国大陆仅出现一例本土病例，该病例系由一名从伊斯坦布尔返回广州的旅行者传播。
Le 24 mars 2020, le Premier ministre Li Keqiang a déclaré que la propagation de cas transmis à l’intérieur du pays a été essentiellement bloquée, et que l’épidémie a été contrôlée en Chine.	2020 年 3 月 24 日，中国总理李克强报告称，本土病例传播已基本得到遏制，中国疫情已得到控制。
Le même jour, les restrictions de voyages ont été assouplies à Hubei, à part à Wuhan, deux mois après le début du confinement. Le ministère des Affaires étrangères chinois a annoncé le 26 mars 2020 que l’entrée pour les détenteurs d’un visa ou d’un permis de résidence allait être suspendue à partir du 28 mars, sans préciser quand cette politique devait prendre fin.	同日，除武汉以外的其他湖北地区在实施封锁整整两个月后开始放开出行限制。中国外交部于 2020 年 3 月 26 日宣布，自 3 月 28 日起，暂停持有效中国签证、居留许可的外国人入境，关于该政策何时结束，未披露相关细节。
Les personnes qui souhaitent entrer en Chine doivent ainsi faire une demande de visa dans les ambassades ou consulats chinois.	想要入华的人员需向中国大使馆或领事馆申请签证。
Le gouvernement chinois a encouragé les entreprises et les usines à rouvrir le 30 mars, et a accordé des plans de relance monétaire aux entreprises. Le Conseil des affaires de l’État a annoncé une journée de deuil devant commencer avec trois minutes de silence le 4 avril à 10 h 00, ce qui coïncide avec la fête de Qingming, bien que le gouvernement central ait demandé aux familles de rendre hommage en ligne pour respecter la distanciation physique et éviter un renouvellement de l’épidémie de COVID-19.	中国政府鼓励企业和工厂于 3 月 30 日复工，并为企业提供了货币刺激计划。国务院宣布将 4 月 4 日定为全国哀悼日，并于当日 10:00 点启动三分钟的全国默哀活动。这一天恰逢清明节，中央政府提倡各家庭通过网络共同悼念逝去的亲人，以保持物理距离，避免 COVID-19 疫情的二次爆发。
Il a été confirmé que la COVID-19 s’est propagé en Corée du Sud le 20 janvier 2020 depuis la Chine.	2020 年 1 月 20 日，韩国出现 COVID-19 确诊病例。
L’organisme de santé de la nation a signalé une augmentation considérable des cas confirmés le 20 février, largement attribuée à un rassemblement à Daegu d’un nouveau mouvement religieux nommé l’Église Shincheonji de Jésus.	韩国卫生机构报告称，2 月 20 日确诊病例显著增加，这主要源于在韩国大邱举行了一场新的宗教运动集会——新天地耶稣教会。
Les fidèles de Shincheonji qui visitaient Daegu depuis Wuhan ont été soupçonnés d’avoir été à l’origine de l’épidémie.	从武汉前往大邱的新天地信徒被怀疑为疫情爆发的源头。
Le 22 février, parmi les 9 336 fidèles de l’église, 1 261 ou environ 13 % ont signalé des symptômes. La Corée du Sud a annoncé le plus haut niveau d’alerte le 23 février 2020.	截至 2 月 22 日，在 9,336 名教会信徒中，有 1,261 人，也就是大约 13%报告出现症状。韩国于 2020 年 2 月 23 日宣布进入最高警戒级别。
Le 28 février, plus de 2 000 cas confirmés ont été signalés en Corée, puis 3 150 le 29 février.	2 月 28 日，韩国累计报告 2,000 多例确诊病例，2 月 29 日增至 3,150 例。
Toutes les bases militaires de Corée du Sud ont été mises en quarantaine après que trois soldats ont été testés positifs au virus.	有三名士兵的病毒检测结果确认呈阳性，此后韩国所有军事基地均进入隔离状态。
Les horaires des compagnies aériennes ont également été atteintes et donc modifiées. La Corée du Sud a introduit ce qui était considéré comme le programme le plus vaste et le mieux organisé au monde pour tester la population au virus, et isoler toutes les personnes infectées ainsi que suivre et mettre en quarantaine les personnes qui ont été en contact avec elles.	航班时刻表也因疫情影响而调整。韩国推出了被认为全球规模最大、组织最好的病毒防控计划，即对大量人口进行病毒筛查，隔离所有感染者，并追踪和隔离感染者的密切接触人员。
Les méthodes de dépistage comprenaient le signalement individuel obligatoire des symptômes par les nouveaux arrivants internationaux via une application mobile, les drives de dépistage du virus délivrant les résultats le jour suivant, et une capacité de test augmentée afin de permettre le test de près de 20 000 personnes chaque jour.	筛查办法包括强制要求从境外新近入境者通过移动应用程序自行报告症状，进行免下车病毒检测，第二天即可获得结果，同时提高检测能力，每天最多可容纳 20,000 人接受检测。
Le programme de la Corée du Sud est considéré comme une réussite dans le contrôle de l’épidémie, bien qu’elle n’ait pas mis en quarantaine des villes entières. La société sud-coréenne était initialement divisée au sujet de la réponse du président Moon Jae-in à la crise.	尽管没有隔离整座城市，但韩国的计划被认为是疫情防控的成功之举。韩国社会最初对总统文在寅的危机反应表现出两极分化的态度。
De nombreux Coréens ont signé des pétitions appelant à la mise en accusation de Moon pour la mauvaise gestion de l’épidémie de la part du gouvernement ou au contraire louant sa réaction.	很多韩国人在请愿书上签字，有的呼吁弹劾文在寅，指责政府对疫情的处理不当，有的则赞扬他的应对策略。
Le 23 mars, la Corée du Sud a connu le plus faible nombre de cas quotidiens en quatre semaines.	3 月 23 日，据报道韩国出现四周以来的最低单日新增病例总数。
Le 29 mars, il a été annoncé qu’à partir du 1er avril, toutes les personnes arrivant de l’étranger seraient mises en quarantaine pendant deux semaines.	3 月 29 日报道称，从 4 月 1 日起，所有新抵达的海外人员均将被隔离两周。
Selon les médias, le 1er avril, la Corée du Sud a reçu des demandes d’assistance pour le dépistage du virus de la part de 121 pays différents.	据媒体 4 月 1 日报道，韩国已收到来自 121 个不同国家和地区的病毒检测援助请求。
L’Iran a signalé ses premiers cas confirmés d’infection par le SARS-CoV-2 le 19 février à Qom, où, selon le ministère de la Santé et de l'Éducation médicale, deux personnes sont mortes plus tard ce jour-là.	2 月 19 日，伊朗宣布库姆出现首批 SARS-CoV-2 确诊病例，后来据伊朗卫生部称，两名患者已于当天死亡。
Les premières mesures annoncées par le gouvernement comprenaient l’annulation des concerts et autres événements culturels, des événements sportifs et des prières du vendredi, et la fermeture des universités, des établissements d’éducation supérieure et des écoles.	政府宣布的早期措施包括取消音乐会和其他文化活动、体育赛事和周五祈祷，大学、高等教育机构及中小学全面停学。
L’Iran a alloué cinq trillions de rials à la lutte contre le virus.	伊朗拨款五万亿里亚尔用于抗击病毒。
Le président Hassan Rouhani a dit le 26 février 2020 qu’il n’était pas prévu de mettre en quarantaine des zones atteintes par l’épidémie, et que seuls des individus seraient mis en quarantaine.	2020 年 2 月 26 日，伊朗总统哈桑·鲁哈尼称未计划封锁受疫情影响的地区，而只会隔离被感染的个人。
Des plans de restriction des voyages interurbains ont été annoncés en mars, bien que la circulation dense entre les villes en prévision du Nouvel An persan Norouz ait perduré.	三月，伊朗宣布了旨在限制城际出行的计划，但城际交通拥挤现象一直持续到波斯新年。
Les sanctuaires chiites à Qom sont restés ouverts aux pèlerins jusqu’au 16 mars 2020. L’Iran est devenu un centre de la propagation du virus après la Chine au cours du mois de février.	库姆地区什叶派圣地在 2020 年 3 月 16 日之前一直对朝圣者开放。二月份，伊朗成为继中国之后的病毒传播中心。
Sur fond d’allégations concernant une possible dissimulation de l’étendue de l’épidémie en Iran, plus de dix pays avaient situé l’origine de leurs cas en Iran le 28 février, suggérant que l’épidémie était peut-être plus grave que les 388 cas signalés par le gouvernement iranien à cette date.	多方认为伊朗疫情的爆发程度受到了掩盖，这其中包括，截至 2 月 28 日，十多个国家的病例追溯结果指向伊朗，由此表明伊朗实际疫情比政府截至该日报告的 388 例病例要严重。
Le parlement iranien a été fermé, alors que 23 de ses 290 membres ont signalé avoir été testés positifs au virus le 3 mars.	伊朗议会被迫关闭，据报告其 290 名议员中有 23 名于 3 月 3 日检测出病毒结果呈阳性。
Le 12 mars, Human Rights Watch a exhorté les autorités pénitentiaires à relâcher sans condition les défenseurs des droits de l’homme détenus pour dissidence pacifique, et de relâcher temporairement tous les prisonniers remplissant certaines conditions.	3 月 12 日，人权观察组织敦促伊朗监狱无条件释放因和平表达异议而被拘留的人权捍卫者，并临时释放所有符合条件的囚犯。
L’organisation a déclaré qu’il existe un plus grand risque de propagation du virus dans les établissements clos comme les centres de détention, qui manquent également de soins médicaux.	该组织指出，病毒在拘留中心等封闭机构中的传播风险更大，且这些机构缺乏足够的医疗保健措施。
Le 15 mars, le gouvernement iranien a signalé 100 décès en un seul jour, le plus grand total enregistré dans le pays depuis le début de l’épidémie.	3 月 15 日，伊朗政府报告一天内死亡 100 人，这是自疫情爆发以来该国报告的最高单日死亡数。
Au moins 12 hommes politiques iraniens anciens ou en exercice et membres du gouvernement étaient décédés de la maladie le 17 mars.	截至 3 月 17 日，至少有 12 名现任或前任伊朗政治家和政府官员死于该病。
Le 23 mars, l’Iran connaissait 50 nouveaux cas par heure et une nouvelle mort toutes les dix minutes dus au coronavirus.	截至 3 月 23 日，伊朗每小时新增 50 例确诊病例，每 10 分钟就会新增 1 例因冠状病毒死亡的病例。
Selon un représentant de l’OMS, il pourrait exister cinq fois plus de cas en Iran que le nombre rapporté.	据世界卫生组织官员称，伊朗实际病例数可能比报道数高出 5 倍。
Il est également suggéré que les sanctions des États-Unis peuvent nuire à la capacité financière du pays de répondre à l’épidémie.	还有观点认为，美国对伊朗的制裁可能会影响该国在应对疫情方面的财力。
Le Haut-Commissariat des Nations unies aux droits de l'homme a demandé l’assouplissement des sanctions économiques pour les nations les plus touchées par la pandémie, y compris l’Iran.	联合国人权事务高级专员要求对包括伊朗在内受本次大流行病影响最严重的国家放松经济制裁。
Il a été confirmé que l’épidémie s’était étendue à l’Italie le 31 janvier, lorsque deux touristes chinois ont été testés positifs au SARS-CoV-2 à Rome.	1 月 31 日，两名中国游客在罗马被检测出 SARS-CoV-2 结果呈阳性，疫情确认蔓延到了意大利。
Les cas ont commencé à augmenter rapidement, ce qui a poussé le gouvernement italien à suspendre tous les vols vers et à destination de la Chine et à déclarer l’état d’urgence.	随后该国病例数急剧上升，促使意大利政府暂停所有往返中国的航班，并宣布进入紧急状态。
Un foyer de cas de COVID-19 sans aucun lien a été détecté ultérieurement, avec 16 cas confirmés en Lombardie le 21 février. Le 22 février, le Conseil des ministres a annoncé un nouveau décret-loi pour contenir l’épidémie, notamment la mise en quarantaine de plus de 50 000 personnes dans 11 municipalités différentes du nord de l’Italie.	从 2 月 21 日在伦巴第确诊的 16 例病例开始，后来发现了一批无关联的 COVID-19 病例。2 月 22 日，内阁会议宣布了遏制疫情蔓延的新法令，包括对意大利北部 11 个不同城市的 5 万多人进行隔离。
Le Premier ministre Giuseppe Conte a déclaré : « Dans les zones touchées par l’épidémie, aucune entrée ou sortie ne sera autorisée.	总理朱塞佩·孔特宣布：“严禁出入疫区。
La suspension de l’activité professionnelle et des événements sportifs a déjà été ordonnée dans ces zones ». Le 4 mars, le gouvernement italien a ordonné la fermeture complète de toutes les écoles et universités du pays alors que l’Italie comptait 100 décès.	疫区已下令停工和暂停体育赛事”。3 月 4 日，因国内死亡病例达到 100 例，意大利政府下令全国各级学校全面停课。
Tous les principaux événements sportifs, y compris les matchs de la Serie A de football, devaient se tenir à huis clos jusqu’au mois d’avril, mais le 9 mars, tout le sport a été suspendu totalement pour un mois minimum.	包括意大利足球甲级联赛在内的所有重大体育赛事 4 月前均将以无观众模式举办，但在 3 月 9 日，所有体育赛事均已完全暂停至少一个月。
Le 11 mars, le Premier ministre Conte a ordonné l’arrêt de la quasi-totalité de l’activité commerciale, à l’exception des supermarchés et des pharmacies. Le 6 mars, la Société italienne d’anesthésie, d’analgésie, de réanimation et de soins intensifs (SIAARTI) a publié des recommandations d’éthique médicale concernant les protocoles de triage pouvant être adoptés.	3 月 11 日，总理孔特下令停止除超市和药店以外的几乎所有商业活动。3 月 6 日，意大利麻醉镇痛重症医学学会 (SIAARTI) 公布了关于可能采用的分诊方案的医学伦理建议。
Le 19 mars, l’Italie a dépassé la Chine en tant que pays comptabilisant le plus de décès liés au coronavirus dans le monde après avoir rapporté 3 405 morts dues à la pandémie.	3 月 19 日，意大利报告有 3,405 人死于这场大流行病，至此超过中国，成为全球新型冠状病毒死亡病例最多的国家。
Le 22 mars, il a été rapporté que la Russie avait envoyé neuf avions militaires chargés d’équipement médical vers l’Italie.	3 月 22 日，据报道称，俄罗斯向意大利派出了九架载有医疗设备的军用飞机。
Au 5 avril, l’Italie comptabilisait 128 948 cas confirmés, 15 887 décès et 21 815 guérisons ; la majorité de ces cas sont apparus dans la région de Lombardie.	截至 4 月 5 日，意大利累计确诊病例达 128,948 例，死亡 15,887 例，治愈 21,815 例，其中大部分病例出现在伦巴第地区。
