fr	zh
L’OMS recommande que les pays sans capacité d’analyse et dont les laboratoires nationaux n’ont qu’une expérience limitée du COVID-19 envoient leurs cinq premiers échantillons positifs et dix premiers échantillons négatifs de COVID-19 à l’un des 16 laboratoires de référence de l’OMS pour réaliser des tests de confirmation.	WHO 建议没有检测能力且国家级实验室处理 COVID-19 经验有限的国家，将他们的前五个呈阳性和前十个呈阴性的 COVID-19 样本，寄往 16 个 WHO 参比实验室中的其中一个进行确认检测。
Les trois principaux facteurs de risque de la COVID-19 étaient le sexe (homme), l’âge (≥ 60) et une pneumonie sévère.	COVID-19 的三个主要危险因素是性别（男性）、年龄（≥60 岁）和严重肺炎。
L'hygiène des mains en milieu médical fait référence aux pratiques sanitaires liées aux procédures médicales.	医务人员手部卫生指的是与医疗程序有关的卫生习惯。
Dans l’édition du 5 mars d’Eurosurveillance 2020, Spiteri et al. rapportaient les premiers cas de COVID-19 confirmés en Europe d’après la définition de cas de l’OMS.	在 2020 年 3 月 5 日出版的《欧洲监控》杂志上，Spiteri 等人根据 WHO 的病例定义报告了欧洲首批确诊的 COVID-19 病例。
On nous demande d’essayer de communiquer ce message de toutes les manières possibles, notamment lors de conférences de presse et d’apparitions à la télévision ». Des organes de presse tels que Politico, Foreign Policy et Bloomberg ont affirmé que les efforts de la Chine pour envoyer de l’aide aux pays touchés par le virus faisaient partie d’une poussée de propagande pour gagner en influence au niveau mondial.	我们被告知以任何方式，包括新闻发布会和电视露面，尽可能将这一信息传播出去”。《政客》、《外交政策》和彭博社等媒体声称，中国向疫情国家提供援助是为了宣扬其全球影响力。
Nous n’avons pas connaissance d’un risque accru lié à la participation à la surveillance pour le personnel ou les patients des cabinets.	我们不知道参与监测的诊所工作人员或其他患者的风险是否会增加。
Il convient également de se laver les mains correctement pour prévenir la transmission de maladies, notamment avant et après avoir soigné une coupure ou une blessure, après avoir éternué, toussé ou s'être mouché, après avoir touché des déchets animaux ou manipulé des animaux et après avoir touché des ordures.	为防止疾病传播，在以下情形中也应采用正确的方式洗手：处理切口或伤口前后；打喷嚏、咳嗽或擦鼻涕后；触摸动物粪便或处理动物后；以及碰触垃圾后。
Le 6 avril 2020, aucun d’entre eux ne s’est révélé assez fiable pour être approuvé pour un usage généralisé.	截至 2020 年 4 月 6 日，这些检测方法均未证实足够准确，还无法批准广泛使用。
The Daily Beast s’est procuré un télégramme du gouvernement américain exposant les grandes lignes d’un stratagème de communication apparemment issu du Conseil de sécurité nationale, dont la stratégie citée est la suivante : « Tout vient de la Chine.	《每日野兽》获得了美国政府的一份电报，该电报概述了一项明显由国家安全委员会发出的通信战略，该战略称“这一切都和中国脱不了干系。
Le 14 février 2020, le groupe Feng Zhang décrivait un protocole d’utilisation de la technique SHERLOCK basée sur la technologie CRISPR à des fins de détection du SARS-CoV-2, qui permet d’identifier des fragments synthétiques d’ARN du SARS-CoV-2 entre 20 × 10-18 mol/L et 200 × 10-18 mol/L (10-100 copies par microlitre d’échantillon) à l’aide d’une bandelette réactive en moins d’une heure, sans nécessiter d’équipements sophistiqués.	2020 年 2 月 14 日，张峰团队报告了一种使用基于 CRISPR 的 SHERLOCK 技术检测 SARS-CoV-2 的方案，该方案无需复杂的仪器，使用一张试纸即可在不到一个小时的时间内检测到浓度仅为 20 × 10-18 mol/L 至 200 × 10-18 mol/L（每微升 10-100 个病毒拷贝）的合成 SARS-CoV-2 RNA 片段。
Les autorités ont également annoncé la construction d’un hôpital temporaire, Huoshenshan, qui a été achevé en 10 jours.	政府部门还宣布建造一所临时医院，即火神山医院，该医院于 10 天内完工交付使用。
En Hongrie, le parlement a voté pour autoriser le Premier ministre, Viktor Orbán, à gouverner par décret jusqu’à nouvel ordre, à suspendre le parlement ainsi que les élections et à punir quiconque serait accusé d’avoir diffusé de fausses informations sur le virus et la gestion de la crise par le gouvernement.	在匈牙利，议会投票支持总理欧尔班·维克托通过法令无限期执政，暂停议会和选举，如果有人被认定传播了有关病毒和政府危机处理方面的虚假信息，也可对其进行处罚。
Israël a demandé à tous ses résidents de porter un masque en public.	以色列要求所有居民在公共场合均需戴口罩。
Il n’existe aucune preuve que les animaux puissent transmettre le virus aux humains, cependant les autorités britanniques recommandent de se laver les mains après avoir touché des animaux, comme après avoir été en contact avec d’autres surfaces que des personnes infectées pourraient avoir touchées.	目前没有证据表明动物会将病毒再传染给人类，但英国官方机构还是建议人们在接触动物后洗手，就像接触其他可能被感染者触摸过的表面一样。
Cela a également entraîné une chute de 33 à 43 % de la circulation piétonne dans les centres commerciaux en mars par rapport à février.	此外，疫情还导致购物中心 3 月份的客流量比 2 月份下降了 33-43%。
La période d’incubation habituelle (le délai entre la contamination et l’apparition des symptômes) oscille entre un et 14 jours ; elle est plus souvent de cinq jours. Bon exemple d’incertitude, l’estimation de la proportion de personnes porteuses de la COVID-19 qui ont perdu l’odorat était initialement de 30 % avant de tomber à 15 %.	潜伏期（从感染到发病的时间间隔）一般为 1-14 天；5 天最常见。关于不确定性，可以通过一个例子来说明：COVID-19 患者中丧失嗅觉的患者占比最初估计为 30%，后来降至 15%。
Pour l’OMS, la COVID-19 est « l’ennemie publique numéro 1 », potentiellement plus dangereuse que le terrorisme.	WHO 警告 COVID-19 已成为“头号公敌”，其威胁可能超过恐怖主义。
Le Centre for Evidence-Based Medicine de l’université d’Oxford estime que le taux d’infection pour la pandémie dans sa globalité se situe entre 0,1 % et 0,39 %.	据牛津大学循证医学中心估计，此次疫情整体的感染死亡率介于 0.1% 到 0.39% 之间。
La durée moyenne entre l’apparition des symptômes et le décès était de 9,5 jours (4,8-13).	从发病到死亡的平均时间为 9.5 (4.8-13) 天。
maintenant contre la fièvre vous pouvez prendre du paracétamol	为缓解发热症状，你可以服用 tachipirina，亲爱的
Le 21 mars 2020, Cepheid a également reçu une EUA de la FDA pour un test prenant environ 45 minutes.	2020 年 3 月 21 日，Cepheid 的一项大约需要 45 分钟的检测方法同样获得了 FDA 的紧急使用授权。
Cet examen tente de synthétiser les progrès de la recherche sur ce nouveau sujet en plein essor.	本文旨在总结这一新兴学科领域的研究进展。
La Commission sanitaire municipale de Wuhan a ensuite publié un avis public le 31 décembre et a informé l’OMS.	武汉市卫生健康委员会随后于 12 月 31 日发布公告，并上报至世界卫生组织。
vous avez probablement une douleur dans la poitrine	您可能会感到胸痛
Le président américain Donald Trump a fait face à la critique pour avoir qualifié le coronavirus de « virus chinois », un terme considéré par ses détracteurs comme raciste et anti-chinois.	美国总统唐纳德·特朗普因将新型冠状病毒称为“中国病毒”而饱受批评，批评者认为其言论存在种族歧视和反华倾向。
Elles comprennent la recommandation de n’avoir de rapports sexuels qu’avec une personne avec laquelle on vit, qui n’a pas le virus ou n’en présente pas les symptômes.	其中的建议包括仅与生活在一起且未感染病毒或无症状的伴侣发生性关系。
et combien avez-vous eu de fièvre?	您发热达到多少度
La capacité de dépistage est de plusieurs centaines d’échantillons en quelques heures, ce qui est nettement plus rapide que le test PCR de l’ARN viral.	检测能力为数小时内可检测数百个样本，因此，在测定病毒 RNA 上，比传统 PCR 测定速度快很多。
Il a été confirmé que la COVID-19 s’est propagé en Corée du Sud le 20 janvier 2020 depuis la Chine.	2020 年 1 月 20 日，韩国出现 COVID-19 确诊病例。
Les complications peuvent inclure la pneumonie et le syndrome de détresse respiratoire aiguë.	并可能伴有肺炎、急性呼吸窘迫综合征等并发症。
Seuls les Sud-Africains dont le test était négatif ont été rapatriés.	只有检测结果呈阴性的南非人被撤回。
Une étude plus récente, tel que décrit ci-avant, a quant à elle conclu à une période d’incubation de 4,8 jours (3,0-7,2) d’après une démographie de 8 866 cas.	如前所述，最近一项研究表明，根据 8,866 名病例的人口统计学，潜伏期为 4.8 (3.0-7.2) 天。
Le même jour, Tedros a déclaré que le secrétaire général de l’ONU António Guterres avait accepté d’intégrer la « force de tout le système des Nations Unies dans la réponse ».	同日，谭德塞表示，联合国秘书长安东尼奥·古特雷斯已同意“联合国将全力应对疫情”。
Un autre hôpital a été construit par la suite : Leishenshan, afin de traiter les patients supplémentaires.	随后又建造了另一所医院，即雷神山医院，用于接诊更多患者。
L’utilisation du terme « distanciation sociale » portait à croire qu’il fallait recourir à une isolation sociale totale, au lieu d’encourager les gens à garder le contact avec les autres via d’autres moyens. Certaines autorités ont publié des lignes directrices concernant la santé sexuelle à suivre pendant la pandémie.	使用“保持社交距离”的说法蕴含着要求人们完全与社会隔离的含义，没有鼓励人们采用其他方式保持人与人之间的联系。一些权威机构还发布了大流行期间适用的性健康指导方针。
et vous savez que j’ai l’impression que ma poitrine va s’écraser	我感觉我的胸部要被压扁了
Par exemple, l’Espagne a retiré 58 000 kits de dépistage du coronavirus fabriqués en Chine avec un taux d’exactitude de seulement 30 %, tandis que les Pays-Bas ont rappelé 600 000 masques de protection chinois défectueux.	例如，西班牙撤回了 5.8 万套中国制造的准确率仅达 30% 的冠状病毒检测试剂盒，同时荷兰也召回了 60 万只存在缺陷的中国口罩。
Une étude bibliographique de mars 2020 a conclu que « les radiographies pulmonaires présentent une faible valeur diagnostique aux premiers stades, tandis que les résultats de la TDM [tomodensitométrie] peuvent être concluants avant même l’apparition de symptômes ».	2020 年 3 月的一份文献综述得出了这样的结论，“在病毒早期阶段，胸片的诊断价值很小，而 CT [电脑断层扫﻿ 的表现可能会很明显，即使在症状出现前”
Le syndrome respiratoire aigu sévère 2 (SARS-CoV-2) est un nouveau virus, initialement isolé chez trois personnes atteintes de pneumonie reliées au foyer de cas de maladie respiratoire aiguë de Wuhan.	严重急性呼吸综合征冠状病毒 2 型 (SARS-CoV-2) 是一种新型病毒，最先是从武汉一批急性呼吸系统疾病病例的 3 名肺炎患者身上分离出的。
L’isolement à domicile a été recommandé pour les personnes diagnostiquées positives à la COVID-19 et celles qui pensent être infectées.	建议 COVID-19 确诊患者和疑似感染者居家进行自我隔离。
Le SARS-CoV-2 infectait des personnes de tout âge, mais plus majoritairement dans la tranche des 30-65 ans.	SARS-CoV-2 能够感染所有年龄段人群，但主要年龄段为 30-65 岁。
On estime que la période d’incubation moyenne du SARS-CoV-2 est de 1 à 14 jours, mais plus généralement de 3 à 7 jours d’après une étude réalisée sur les 425 premiers cas signalés à Wuhan.	根据对武汉市最早 425 名病例进行的一项研究，SARS-CoV-2 的平均潜伏期估计为 1-14 天，大部分为 3-7 天。
et buvez beaucoup de liquides	多喝水
Les autorités du monde entier ont réagi en mettant en place des restrictions sur les déplacements, des quarantaines, des couvre-feux, des contrôles des risques sur les lieux de travail et des fermetures d’établissements.	各国官方机构已采取旅行限制、隔离、宵禁、工作场所危险防控和设施关闭等应对措施。
et vos symptômes ne disparaissent pas en cinq jours	您的症状五天内不会消失
Par conséquent, il est bien plus difficile de contrôler l’épidémie de SARS-CoV-2 qu’il ne l’a été pour les épidémies de MERS-CoV et de SARS-CoV.	因此，控制 SARS-CoV-2 疫情要比 MERS-CoV 和 SARS-CoV 更具挑战性。
vous avez dit que vous avez cette douleur dans la poitrine	您曾说有这种胸痛症状
Vendredi, le président des États-Unis Donald Trump a déclaré une urgence nationale en réponse à l’épidémie actuelle de coronavirus.	星期五，美国总统唐纳德·特朗普宣布了国家紧急状态，以应对不断蔓延的冠状病毒爆发。
Le RSC du RCGP fonctionne depuis plus de 50 ans et a été impliqué dans la collecte d’échantillons pour surveiller la maladie et l’efficacité du vaccin pendant la pandémie de grippe de Hong Kong en 1968/69, la grippe Russe de 1977/78 et la pandémie de grippe porcine de 2009.	RCGP RSC 已经运行了 50 多年，并且在 1968/69 年的香港流感疫情、1977/78 年的俄罗斯流感疫情以及 2009 年的猪流感疫情期间参与了样本采集以监测疾病和疫苗有效性。
antécédents épidémiologiques : (1) un antécédent de voyage ou de résidence dans la ville de Wuhan et dans les zones voisines ou dans d’autres communautés où des cas de COVID-19 ont été signalés au cours des 14 derniers jours avant l’apparition des symptômes ; (2) un antécédent de contact avec des cas infectieux de SARS-CoV-2 (avec un test positif des acides nucléiques) ; (3) un antécédent de contact avec des patients présentant de la fièvre ou des symptômes respiratoires de la ville de Wuhan ou des zones voisines ou d’autres communautés où des cas de COVID-19 ont été signalés au cours des 14 derniers jours avant l’apparition des symptômes ; (4) un antécédent de contact avec un cluster de cas confirmés (≥ 2 cas avec fièvre et/ou symptômes respiratoires survenus en l’espace de 2 semaines dans une zone réduite comme le domicile, le bureau, la classe d’école, etc.).	流行病学史：(1) 在症状出现前 14 天内曾在武汉市及周边地区或其他报告有 COVID-19 病例的社区有旅行或居住史；(2) 与 SARS-CoV-2 感染病例（核酸检测呈阳性）有接触史；(3) 在症状出现前 14 天内曾与来自武汉市及周边地区或其他报告有 COVID-19 的社区的发热或呼吸道症状患者有接触史；(4) 与聚集性确诊病例（在症状出现前 2 周内，于小范围内接触 ≥ 2 例发热和/或呼吸道症状患者，如家中、办公室、学校班级等）有接触史。
Cependant, une étude menée sur 1 099 cas a démontré que la période d’incubation était de 3 jours en moyenne, pour une fourchette allant de 0 à 24 jours.	但是，一项对 1,099 名病例的研究表明，平均潜伏期为 3 天，范围为 0 至 24 天。
Le 23 mars, l’Iran connaissait 50 nouveaux cas par heure et une nouvelle mort toutes les dix minutes dus au coronavirus.	截至 3 月 23 日，伊朗每小时新增 50 例确诊病例，每 10 分钟就会新增 1 例因冠状病毒死亡的病例。
En effet, les patients rétablis présentent souvent un taux relativement élevé d’anticorps contre le pathogène.	实际上，已康复的患者在其血液中通常含有相对较高水平针对病原体的抗体。
Le programme de la Corée du Sud est considéré comme une réussite dans le contrôle de l’épidémie, bien qu’elle n’ait pas mis en quarantaine des villes entières. La société sud-coréenne était initialement divisée au sujet de la réponse du président Moon Jae-in à la crise.	尽管没有隔离整座城市，但韩国的计划被认为是疫情防控的成功之举。韩国社会最初对总统文在寅的危机反应表现出两极分化的态度。
Les mesures prises par la Chine et l’Italie contre le stockage et le commerce illégal de produits essentiels ont été un véritable succès, évitant ainsi les graves pénuries alimentaires qui avaient été prévues en Europe ainsi qu’en Amérique du Nord.	中国和意大利针对关键产品囤积和非法贸易行为采取的措施非常成功，避免了严重食品短缺问题，而欧洲和北美则预计会出现此类问题。
Il est à espérer que cette nouvelle technique permettra d’améliorer considérablement la sensibilité et la praticité, si son utilisation sur des spécimens cliniques s’avérait concluante.	如果在临床样本中得到验证，那么这种新技术有望大幅提高诊断的灵敏度和便利性。
Les analystes politiques s’attendent à ce que cela affecte négativement les chances de réélection de Donald Trump lors de l’élection présidentielle de 2020. Les relations diplomatiques entre le Japon et la Corée du Sud se sont dégradées en raison de la pandémie.	政治分析人士预计，此次疫情可能会对唐纳德·特朗普能否在 2020 年总统大选中获得连任产生负面影响。日本和韩国之间的外交关系也因全球大流行而恶化。
Le 20 mars, le gouvernement a annoncé que tous les établissements de loisirs tels que les pubs et les salles de sport devaient fermer le plus tôt possible, et a promis de payer jusqu’à 80 % des salaires des travailleurs, dans la limite de 2 500 £ par mois, afin d’éviter le chômage lié à la crise. Le 23 mars, le Premier ministre a annoncé des mesures de distanciation sociale plus dures, interdisant les rassemblements de plus de deux personnes et limitant les voyages et les activités de plein air au strict nécessaire.	3 月 20 日，政府宣布应尽快关闭包括酒吧和健身房在内的所有休闲场所，并承诺最高可承担 80% 的工人工资，每月最高限额 2,500 英镑，以防止造成危机下的失业情况。3 月 23 日，英国首相宣布了更严厉的关于保持社会距离的措施，禁止两人以上的集会，而且除非绝对必要，不得进行任何出行和户外活动。
Le secteur de la technologie, en particulier, a alerté sur des retards d’expédition de produits électroniques.	尤其科技行业也一直在警告电子产品发货延迟。
Mais il est presque impossible de faire des prévisions pertinentes actuellement sur le moment où cela se produira ».	但是目前我们几乎不可能合理预测拐点何时会出现。”
La National Basketball Association suspend la saison en raison du COVID-19	职业篮球联赛受COVID-19影响而暂停本赛季
Les visites chez les commerçants en Europe et en Amérique latine ont chuté de 40 %.	欧洲和拉丁美洲的零售店光顾量下降了 40%。
Les compagnies pharmaceutiques s’emploient toutes à développer des anticorps et des vaccins contre le virus.	制药公司正在竞相开发针对该病毒的抗体和疫苗。
En plus des nouveaux hôpitaux, la Chine a converti 14 autres structures à Wuhan, telles que des centres des congrès et des stades, en hôpitaux temporaires. Le 26 janvier, le gouvernement a institué de nouvelles mesures pour endiguer l’épidémie de COVID-19, parmi lesquelles l’émission de déclarations de santé pour les voyageurs et le prolongement des congés de la fête du Printemps.	除了新建医院外，中国还将武汉其他 14 个场所，如会议中心和体育场，改造成方舱医院。1 月 26 日，政府采取了进一步措施来遏制 COVID-19 疫情，包括向出行人员发放健康申报表和延长春节假期。
Grâce au traçage agressif des contacts, aux restrictions des voyages entrants, au dépistage et à la quarantaine, la pandémie de coronavirus de 2020 à Singapour a progressé bien moins vite que dans d’autres pays développés, mais sans restrictions extrêmes telles que la fermeture forcée des restaurants et des établissements de vente au détail.	通过大规模追踪接触者、限制入境旅行、检测和进行隔离，2020 冠状病毒在新加坡的传染速度远远慢于其他发达国家/地区，而且新加坡没有采取极端限制措施，例如，强制关闭餐馆和零售场所。
Cela permet de diminuer le risque d’une surcharge des services de santé et de gagner du temps pour le développement des vaccins et des traitements.	这样可降低卫生服务系统的崩溃风险，并为疫苗和治疗方案的开发争取更多时间。
La surveillance du RSC du RCGP avec PHE est définie comme Protection de la santé dans le 3e règlement (Contrôle des données des patients) des Règlements 2002 du Service de santé.	RCGP RSC 与 PHE 的监测在 2002 年《卫生服务（患者信息控制）条例》第 3 条中被定义为“健康保护”。
Une étude démographique réalisée fin décembre 2019 a montré que les malades présentaient de la fièvre à 98 %, une toux sèche à 76 %, une dyspnée à 55 % et une diarrhée à 3 % ; 8 % des patients ont nécessité une assistance ventilatoire.	2019 年 12 月下旬进行的一项人口统计学研究显示，各种症状的百分比为：发热 98%，干咳 76%，呼吸困难 55%，腹泻 3%；8% 的患者需要通气支持。
et elle a à peu près les mêmes symptômes	她也出现相同的症状
Il a déclaré, dans des propos publiés par CNN en février, que « à part la grippe, aucun autre virus respiratoire n’a été observé depuis son apparition jusqu’à sa propagation continue à l’échelle mondiale. »	他于2月在CNN发表评论说，“除了流感之外，还没有发现哪种呼吸道病毒在出现以后持续扩散到全球。”
Ainsi, une assistance respiratoire est essentielle pour soulager les symptômes et sauver des vies ; cela inclut une oxygénothérapie générale, une oxygénothérapie à débit élevé, une ventilation non invasive ainsi qu’une ventilation mécanique invasive, selon la sévérité de la maladie.	因此，呼吸支持对于缓解症状和挽救生命至关重要，包括常规吸氧、高流量吸氧、无创通气和有创机械通气，具体取决于疾病的严重程度。
Ces données ont été utilisées pour évaluer l’évolution de la COVID-19 au sein de l’UE/l’EEE et au Royaume-Uni, et établir une comparaison avec l’expérience de l’Italie.	这些数据已用于评估 EU/EEA 和英国的 COVID-19 趋势，并与意大利进行比较。
Les stratégies de prévention de la transmission de la maladie comprennent avoir globalement une bonne hygiène personnelle, se laver les mains, éviter de se toucher les yeux, le nez ou la bouche avec des mains non lavées, et tousser ou éternuer dans un mouchoir puis jeter le mouchoir directement dans un sac poubelle.	预防疾病传播的措施包括良好的个人卫生习惯、勤洗手、避免未洗手直接触摸眼鼻口部、咳嗽或打喷嚏时用纸巾捂住口鼻，用过的纸巾直接丢进垃圾桶。
Le SARS-CoV et le MERS-CoV peuvent survivre in vitro pendant 48 heures en environnement sec et jusqu’à 5 jours à une température de 20 °C et une humidité de 40 à 50 %.	SARS-CoV 和 MERS-CoV 在干燥环境中可以体外存活 48 小时，在 20 °C 和 40%-50% 湿度下最多可以存活 5 天。
Au moyen de cette surveillance, nous prétendons en apprendre davantage sur l’épidémiologie du COVID-19 dans le cadre des soins ambulatoires.	通过这种监测，我们打算找到更多门诊医疗中的 COVID-19 流行病学信息。
Selon une étude de l’Imperial College menée par Neil Ferguson, une distanciation physique et d’autres mesures seront nécessaires « jusqu’à ce qu’un vaccin soit disponible (dans possiblement 18 mois ou plus) ».	Neil Ferguson 在帝国理工学院牵头开展的研究表明，“在疫苗投入使用之前（可能需要 18 个月或更长时间）”，务必要采取保持物理距离和其他措施。
Leurs travaux ont apporté de nouvelles preuves pour notre directive et constituent également une précieuse référence pour cette pandémie mondiale.	他们的工作为我们的指南提供了新的证据，也为这个全球性大流行病提供了有价值的参考。
La plupart des entreprises ont été sommées de fermer, à l’exception des entreprises jugées « essentielles », notamment les supermarchés, les pharmacies, les banques, les magasins de bricolage, les stations-service et les garages.	除了超市、药店、银行、五金店、加油站和车库等被认定为“必不可少”的业务外，其他大部分业务均被勒令停工。
Une mise à jour des critères de diagnostic des « cas suspects » et des « cas confirmés » de COVID-19 est nécessaire	有必要更新 COVID-19 “疑似病例”和“确诊病例”的诊断标准
Le 26 février, relativement peu de cas avaient été signalés parmi les jeunes, ceux de 19 ans et moins représentant 2,4 % des cas dans le monde. Le conseiller scientifique en chef du Royaume-Uni, Patrick Vallance, estimait que 60 % de la population britannique devait être infectée avant de pouvoir atteindre une immunité collective efficace.	截至 2 月 26 日，报告的青少年病例相对较少，全球 19 岁及以下的青少年病例占比仅为 2.4%。英国首席科学顾问帕特里克·瓦兰斯估计，英国需要有大约 60% 的人口感染新冠病毒才能获得有效群体免疫。
Cependant, la prise de stéroïdes à dose élevée n’a pas eu d’effets bénéfiques sur les lésions pulmonaires graves chez les patients atteints du SRAS et de la COVID-19.	但是，大剂量类固醇对 SARS 和 COVID-19 患者的严重肺损伤无益。
Le dispositif allemand de compensation de travail à temps partiel a été adopté par la France et la Grande-Bretagne.	法国和英国也都采用了德国的缩时工作补偿制。
Antécédents de voyages et descripteurs cliniques des infections au COVID-19	旅行史以及 COVID-19 感染的临床描述
Les cas désignent le nombre de personnes qui ont été testées à la COVID-19, et dont le test a été confirmé positif selon les protocoles officiels.	病例数是指已接受 COVID-19 检测且根据官方方案确认检测结果为阳性的人数。
Parmi les anciennes versions des kits de test, un test génétique sur trois obtenait des résultats non concluants en raison de réactifs défectueux, ainsi qu’un goulot d'étranglement des tests aux CDC d’Atlanta. De ce fait, une moyenne de moins de 100 échantillons par jour ont été traités avec succès tout au long du mois de février 2020.	早期版本的检测试剂盒采用三个基因检测法，其中的一种方法由于试剂缺陷导致无法确定结果，同时，亚特兰大 CDC 出现检测瓶颈；这导致在 2020 年的整个二月，每天成功处理的平均样本数量不足 100 个。
Cette réaction négative a été appuyée par une pétition incitant le directeur général de l’OMS Tedros Adhanom à remettre sa démission, signée par 733 000 personnes au 6 avril.	其中比较强烈的反对声音包括请愿要求世界卫生组织总干事 Tedros Adhanom 递交辞呈，截至 4 月 6 日，已有 73.3 万人签署这份请愿书。
D’autres solutions, telles que le chlorure de benzalkonium et le gluconate de chlorhexidine, sont moins efficaces.	其他溶液（如苯扎氯铵和氯己定葡萄糖酸盐）效果较差。
Cependant, la protéine N du SARS-CoV peut permettre au virus d’échapper aux réponses immunitaires.	但是，SARS-CoV 的 N 蛋白可以帮助病毒摆脱免疫应答。
En Thaïlande, les autorités sanitaires encouragent la population à fabriquer des masques faciaux chez soi et à les nettoyer chaque jour.	泰国卫生官员建议人们自制口罩，并每天清洗。
Les universités et écoles du pays ont également été fermées.	全国高校和中小学也全面停学。
« Tous les pays peuvent encore changer le cours de cette pandémie.	“所有国家/地区仍然可以改变本次大流行的进程。
En Chine, une grande partie des quelques 300 millions de travailleurs migrants ruraux se sont retrouvés bloqués chez eux dans des provinces intérieures ou coincés dans la province du Hubei. En mars 2020, plus de 10 millions d’Américains ont perdu leur emploi et ont fait une demande d’aide auprès du gouvernement.	中国有近 3 亿农民工，其中很多均被滞留在内陆省份家中或湖北省。2020 年 3 月，超过 1,000 万美国人失业，并申请了政府援助。
et j’ai ces douleurs dans la poitrine	我开始胸痛
Concernant les cas graves, les patients ont rapidement développé un syndrome respiratoire aigu, un choc septique, une acidose métabolique et une coagulopathie.	严重者会迅速进展为急性呼吸窘迫综合征、脓毒性休克、代谢性酸中毒和凝血功能障碍。
« Nous sommes fortement préoccupés, non seulement par les niveaux alarmants de propagation et de gravité, mais aussi par les niveaux alarmants d’inaction. »	“我们对于扩散和严重性的惊人程度以及不作为的惊人程度深感担忧。”
Des mesures de distanciation physique ont aussi été recommandées pour empêcher la transmission. Nombre de gouvernements ont interdit ou déconseillé tous les déplacements non essentiels vers ou depuis des pays et secteurs touchés par l’épidémie.	另外建议采取保持物理距离的措施以防止病毒传播。很多政府已限制或建议避免在非必要的情况下往返受疫情影响的国家和地区。
Mary, cela fait combien de temps maintenant que vous avez les symptômes	mary，你的症状持续多少天了
Lorsqu’il n’est plus possible d’empêcher la propagation de la maladie, les efforts se tournent vers la phase d’atténuation : on prend des mesures pour ralentir cette propagation et atténuer ses effets sur le système des soins de santé et la société.	如果已经无法遏制疾病的传播，则要努力过渡到缓解阶段：采取措施减缓疾病传播，降低疾病对卫生系统和社会的影响。
Kimberly-Clark, qui fabrique le papier toilette Kleenex, et Solaris Paper qui fabrique le papier Sorbent, ont souligné qu’ils travaillent 24/7 pour maintenir l’approvisionnement, d’après l’article de News.com.au.	据News.com.au报道，制造舒洁卫生纸的Kimberly-Clark和制造Sorbent卫生纸的Solaris Paper都强调，他们正在全天候工作，周末无休，以保证供应。
Toutefois, notre formation comprendra des rappels sur la manipulation sûre des échantillons et la révision des mesures de contrôle des infections qui devraient être élevées dans nos cabinets.	但是，我们的培训将包括预计在诊所中常用的有关标本安全处理以及感染控制措施修订的提醒。
La pandémie a engendré de graves perturbations socioéconomiques au niveau mondial, le report ou l’annulation d’événements sportifs, religieux, politiques et culturels, ainsi que des pénuries généralisées aggravées par les achats de panique.	此次疫情导致全球社会经济遭受严重冲击，体育、宗教、政治和文化活动纷纷推迟或取消，而恐慌性购物更是加剧了大范围供应短缺。
Certains commentateurs pensent que cette action était destinée à protéger le secrétaire général du Parti communiste chinois Xi Jinping de la colère populaire par rapport à l’épidémie de coronavirus.	一些评论员认为，此举旨在避免公众因新型冠状病毒爆发而对中共中央总书记习近平不满。
L’identification des hôtes animaux a des implications directes dans la prévention des maladies humaines.	约翰-霍普金斯大学的数据显示，全球SARS-CoV-2冠状病毒感染病例总数在星期四已超过100万。
Le 11 février, un autre avion transportant 185 Canadiens en provenance de Wuhan a atterri à la BFC Trenton.	2 月 11 日，另一架载有 185 名加拿大人的飞机从武汉起飞，降落特伦顿加军基地。
Dans un article publié sur News.com.au, le Dr Gary Mortimer, expert du secteur de la distribution de l’Université de technologie du Queensland, a expliqué que les magasins réapprovisionnent les stocks toutes les nuits.	在News.com.au的一份报告中，昆士兰科技大学的零售专家Gary Mortimer博士称，商店每晚都会补充库存。
Le 11 mars 2020, le directeur général de l’Organisation mondiale de la santé (OMS) déclarait que la COVID-19 constitue une pandémie.	2020 年 3 月 11 日，世界卫生组织 (WHO) 总干事宣布 COVID-19 为大流行病。
L’utilisation des données de localisation des téléphones portables par les gouvernements à cet égard a soulevé des problèmes de confidentialité, avec Amnesty International et plus de 100 autres organisations publiant un communiqué appelant à poser des limites à ce genre de surveillance.	政府出于追踪目的使用手机定位数据引发了人们对隐私的担忧，大赦国际等 100 多家组织发表声明，呼吁对这种监督加以限制。
Les instructions de quarantaine individuelle les plus strictes ont été données aux personnes des groupes les plus à risque.	另外还向高危人群发布了最严厉的自我隔离指示。
Le CDC recommande que si un cas de COVID est suspecté ou confirmé dans un établissement comme un immeuble de bureaux ou une crèche, toutes les pièces telles que les bureaux, les toilettes, les salles communes, ainsi que les équipements électroniques communs tels que les tablettes, les écrans tactiles, les claviers, les télécommandes, et les distributeurs automatiques utilisés par les personnes malades, soient désinfectés.	美国疾控中心建议，如果在办公室或日托所等设施出现新型冠状病毒肺炎疑似病例或确诊病例，则应对所有区域进行消毒，包括办公室、浴室、公共区域、共用电子设备，如平板电脑、触摸屏、键盘、遥控器和患者用过的自动取款机等。
